simplified	MY	example_MY	KM	example_KM	LO	example_LO
其中	အဲဒီထဲမှာ; ထိုအထဲမှ	ကျွန်တော်တို့အတန်းမှာ ကျောင်းသားနှစ်ဆယ်ရှိပြီး အဲဒီထဲက ငါးယောက်က နိုင်ငံခြားက လာသည်။	ក្នុងនោះ	ថ្នាក់យើងមានសិស្សម្ភៃនាក់ ក្នុងនោះប្រាំនាក់មកពីបរទេស។	ໃນນັ້ນ	ຫ້ອງຮຽນພວກເຮົາມີນັກຮຽນຊາວຄົນ ໃນນັ້ນຫ້າຄົນມາຈາກຕ່າງປະເທດ.
气候	ရာသီဥတု	မင်း မြောက်ပိုင်းရဲ့ ရာသီဥတုကို အလိုက်သင့်နေထိုင်နိုင်လား။	អាកាសធាតុ	អ្នកអាចសម្របខ្លួននឹងអាកាសធាតុភាគខាងជើងបានទេ?	ພູມອາກາດ	ເຈົ້າສາມາດປັບຕົວເຂົ້າກັບພູມອາກາດທາງເໜືອໄດ້ບໍ?
千万	မဖြစ်မနေ; လုံးဝမ	မနက်ဖြန်အစည်းအဝေးကို လုံးဝမမေ့နဲ့။	ដាច់ខាត; កុំឱ្យ	អ្នកកុំភ្លេចកិច្ចប្រជុំនៅថ្ងៃស្អែកដាច់ខាត។	ຢ່າເດັດຂາດ; ຕ້ອງແນ່ນອນ	ເຈົ້າຢ່າລືມກອງປະຊຸມມື້ອື່ນເດັດຂາດ.
签证	ဗီဇာ	ကျွန်တော် မနက်ဖြန် သံရုံးကို ဗီဇာလျှောက်ဖို့ သွားမယ်။	ទិដ្ឋាការ	ស្អែកខ្ញុំនឹងទៅស្ថានទូតដើម្បីដាក់ពាក្យសុំទិដ្ឋាការ។	ວີຊາ	ມື້ອື່ນຂ້ອຍຈະໄປສະຖານທູດເພື່ອຂໍວີຊາ.
敲	ခေါက်သည်	တစ်ယောက်ယောက် တံခါးခေါက်နေတယ်၊ ဘယ်သူလာလဲ သွားကြည့်ပါ။	គោះ	មាននរណាម្នាក់គោះទ្វារ អ្នកទៅមើលថានរណាមក។	ເຄາະ	ມີຄົນເຄາະປະຕູ ເຈົ້າໄປເບິ່ງວ່າໃຜມາ.
桥	တံတား	မြစ်ပေါ်မှာ တံတားငယ်တစ်စင်း ရှိသည်။	ស្ពាន	លើទន្លេមានស្ពានតូចមួយ។	ຂົວ	ມີຂົວນ້ອຍໜຶ່ງຢູ່ເໜືອແມ່ນ້ຳ.
巧克力	ချောကလက်	ကျွန်တော် အကြိုက်ဆုံးစားတာက ချောကလက်ပဲ။	សូកូឡា	ខ្ញុំចូលចិត្តញ៉ាំសូកូឡាបំផុត។	ຊັອກໂກແລັດ	ຂ້ອຍມັກກິນຊັອກໂກແລັດທີ່ສຸດ.
亲戚	ဆွေမျိုး	ကျွန်တော့် ဆွေမျိုးအများစုက ပေကျင်းမှာ နေကြသည်။	សាច់ញាតិ	សាច់ញាតិរបស់ខ្ញុំភាគច្រើនរស់នៅប៉េកាំង។	ຍາດພີ່ນ້ອງ	ຍາດພີ່ນ້ອງສ່ວນໃຫຍ່ຂອງຂ້ອຍອາໄສຢູ່ປັກກິ່ງ.
轻	ပေါ့သော	ဒီသေတ္တာက အလွန်ပေါ့သည်။	ស្រាល	ប្រអប់នេះស្រាលណាស់។	ເບົາ	ກ່ອງນີ້ເບົາຫຼາຍ.
轻松	ပေါ့ပါးသော; လွယ်ကူသော	ဒီအလုပ်က သူ့အတွက် မလွယ်ကူပါ။	ស្រួល; ធូរស្រាល	ការងារនេះមិនស្រួលសម្រាប់គាត់ទេ។	ຜ່ອນຄາຍ; ງ່າຍ	ວຽກນີ້ບໍ່ງ່າຍສຳລັບລາວ.
情况	အခြေအနေ	အခြေအနေက အများကြီး ပြောင်းလဲသွားပြီ။	ស្ថានភាព	ស្ថានភាពបានផ្លាស់ប្តូរយ៉ាងខ្លាំង។	ສະຖານະການ	ສະຖານະການປ່ຽນແປງໄປຫຼາຍ.
穷	ဆင်းရဲသော	ဒီအဘိုးအိုက ဆင်းရဲပေမဲ့ ပျော်ရွှင်စွာ နေထိုင်သည်။	ក្រ	ទោះបីលោកតាម្នាក់នេះក្រណាស់ក៏ដោយ គាត់រស់នៅយ៉ាងសប្បាយ។	ທຸກຍາກ	ເຖິງວ່າຊາຍຊະລາຄົນນີ້ທຸກຍາກ ແຕ່ລາວດຳລົງຊີວິດຢ່າງມີຄວາມສຸກ.
区别	ကွာခြားချက်; ခွဲခြားသည်	ဒီပစ္စည်းနှစ်မျိုးမှာ ဘာကွာခြားချက်ရှိလဲ။	ភាពខុសគ្នា; បែងចែក	វត្ថុធាតុពីរប្រភេទនេះមានភាពខុសគ្នាអ្វីខ្លះ?	ຄວາມແຕກຕ່າງ; ແຍກແຍະ	ວັດສະດຸສອງຊະນິດນີ້ມີຄວາມແຕກຕ່າງຫຍັງບໍ?
取	ထုတ်ယူသည်; ယူသည်	ကျွန်တော် ဘဏ်ကို ငွေထုတ်ဖို့ သွားမယ်။	ដក; យក	ខ្ញុំនឹងទៅធនាគារដើម្បីដកប្រាក់។	ຖອນ; ເອົາ	ຂ້ອຍຈະໄປທະນາຄານເພື່ອຖອນເງິນ.
全部	အားလုံး; အကုန်	ဂီတက ကျွန်တော့်ရဲ့ အားလုံးပါပဲ။	ទាំងអស់	តន្ត្រីគឺជាអ្វីៗទាំងអស់របស់ខ្ញុំ។	ທັງໝົດ	ດົນຕີແມ່ນທຸກຢ່າງຂອງຂ້ອຍ.
缺点	အားနည်းချက်; ချို့ယွင်းချက်	လူတစ်ယောက်ဟာ ကိုယ့်အားနည်းချက်ကို သူများရဲ့ အားသာချက်နဲ့ မနှိုင်းယှဉ်သင့်ပါ။	ចំណុចខ្សោយ; កំហុស	មនុស្សមិនគួរយកចំណុចខ្សោយរបស់ខ្លួនទៅប្រៀបធៀបនឹងចំណុចល្អរបស់អ្នកដទៃទេ។	ຈຸດອ່ອນ; ຂໍ້ເສຍ	ຄົນບໍ່ຄວນເອົາຈຸດອ່ອນຂອງຕົນໄປປຽບທຽບກັບຈຸດດີຂອງຄົນອື່ນ.
缺少	ချို့တဲ့သည်; လိုအပ်နေသည်	ဘာတွေ လိုနေသေးလဲ ကြည့်ပါ၊ ကျွန်တော် အခုပဲ သွားဝယ်မယ်။	ខ្វះ; ខ្វះខាត	អ្នកមើលថានៅខ្វះអ្វី ខ្ញុំនឹងទៅទិញឥឡូវនេះ។	ຂາດ; ບໍ່ພຽງພໍ	ເຈົ້າເບິ່ງວ່າຍັງຂາດຫຍັງ ຂ້ອຍຈະໄປຊື້ດຽວນີ້.
却	သို့သော်; ဒါပေမဲ့	ကျွန်တော့်မှာ ပြောစရာတွေ အများကြီးရှိပေမဲ့ စိတ်လှုပ်ရှားတာနဲ့ မပြောနိုင်တော့ဘူး။	ប៉ុន្តែ; តែបែរ​ជា	ខ្ញុំមានពាក្យច្រើនត្រូវនិយាយ ប៉ុន្តែពេលតានតឹង បែរជានិយាយមិនចេញ។	ແຕ່ກັບ; ທວ່າ	ຂ້ອຍມີຫຼາຍຢ່າງຢາກເວົ້າ ແຕ່ເວລາຕື່ນເຕັ້ນກັບເວົ້າບໍ່ອອກ.
确实	တကယ်; အမှန်တကယ်	ဒီနည်းလမ်းက တကယ်မဆိုးဘူး။	ពិតជា; ប្រាកដជា	វិធីនេះពិតជាល្អមែន។	ແທ້ຈິງ; ແນ່ນອນ	ວິທີນີ້ດີແທ້ໆ.
然而	သို့သော်; ဒါပေမဲ့	ဒီစာအုပ်ကို ဖတ်ဖို့ အချိန်အများကြီး သုံးခဲ့ပေမဲ့ မပြီးသေးဘူး။	ទោះយ៉ាងណា; ប៉ុន្តែ	ខ្ញុំបានចំណាយពេលច្រើនអានសៀវភៅនេះ ប៉ុន្តែនៅមិនទាន់អានចប់ទេ។	ຢ່າງໃດກໍຕາມ; ແຕ່	ຂ້ອຍໃຊ້ເວລາຫຼາຍອ່ານປຶ້ມນີ້ ແຕ່ຍັງອ່ານບໍ່ຈົບ.
热闹	စည်ကားသော	လမ်းမပေါ်မှာ အလွန်စည်ကားနေသည်။	អ៊ូអរ; មានភាពរស់រវើក	នៅលើផ្លូវធំអ៊ូអរណាស់។	ຄຶກຄື້ນ; ມີຊີວິດຊີວາ	ຢູ່ຖະໜົນໃຫຍ່ຄຶກຄື້ນຫຼາຍ.
任何	မည်သည့်; ဘယ်သူမဆို	အမေက ကျွန်တော့်ကို ဘယ်သူထက်မဆို ပိုနားလည်သည်။	ណាមួយ; អ្នកណាក៏ដោយ	ម្តាយយល់ខ្ញុំជាងអ្នកណាទាំងអស់។	ໃດໆ; ຜູ້ໃດກໍຕາມ	ແມ່ເຂົ້າໃຈຂ້ອຍຫຼາຍກວ່າຜູ້ໃດ.
任务	တာဝန်; လုပ်ငန်းတာဝန်	တာဝန်က ရှစ်ဆယ်ရာခိုင်နှုန်း ပြီးသွားပြီ။	ភារកិច្ច; កិច្ចការ	ភារកិច្ចបានបញ្ចប់ប៉ែតសិបភាគរយហើយ។	ພາລະກິດ; ໜ້າທີ່	ວຽກນີ້ສຳເລັດແປດສິບເປີເຊັນແລ້ວ.
扔	ပစ်သည်; လွှင့်ပစ်သည်	ကျေးဇူးပြု၍ အမှိုက်ကို အမှိုက်ပုံးထဲ ပစ်ပါ။	បោះ; បោះចោល	សូមបោះសំរាមទៅក្នុងធុងសំរាម។	ຖິ້ມ	ກະລຸນາຖິ້ມຂີ້ເຫຍື້ອລົງໃນຖັງຂີ້ເຫຍື້ອ.
仍然	နေဆဲ; အခုထိ	ဒီနေ့လည်း ရာသီဥတုကောင်းနေဆဲ ဖြစ်သည်။	នៅតែ; ដដែល	ថ្ងៃនេះនៅតែជាអាកាសធាតុល្អ។	ຍັງ; ຍັງຄົງ	ມື້ນີ້ອາກາດຍັງດີຢູ່.
日记	နေ့စဉ်မှတ်တမ်း	သမီးက နေ့တိုင်း နေ့စဉ်မှတ်တမ်းရေးတဲ့ အကျင့် ရလာပြီ။	កំណត់ហេតុប្រចាំថ្ងៃ	កូនស្រីបានបង្កើតទម្លាប់សរសេរកំណត់ហេតុប្រចាំថ្ងៃរាល់ថ្ងៃ។	ບັນທຶກປະຈຳວັນ	ລູກສາວໄດ້ສ້າງນິໄສຂຽນບັນທຶກປະຈຳວັນທຸກມື້.
入口	ဝင်ပေါက်	ကျွန်တော် အဆောက်အအုံရဲ့ ဝင်ပေါက်မှာ မင်းကို စောင့်နေမယ်။	ច្រកចូល	ខ្ញុំរង់ចាំអ្នកនៅច្រកចូលអគារ។	ທາງເຂົ້າ	ຂ້ອຍລໍຖ້າເຈົ້າຢູ່ທາງເຂົ້າອາຄານ.
散步	လမ်းလျှောက်သည်; အေးအေးလူလူ လမ်းလျှောက်သည်	လမ်းလျှောက်နေတဲ့အချိန်မှာ ခွေးကလေးက ကျွန်တော့်နောက်ကနေ အမြဲလိုက်လာသည်။	ដើរលេង	ពេលដើរលេង កូនឆ្កែតែងតែដើរតាមពីក្រោយខ្ញុំ។	ຍ່າງຫຼິ້ນ	ເວລາຍ່າງຫຼິ້ນ ໝານ້ອຍຕາມຫຼັງຂ້ອຍຕະຫຼອດ.
森林	သစ်တော	ဒီသစ်တောက အလွန်ကြီးသည်။	ព្រៃឈើ	ព្រៃឈើនេះធំណាស់។	ປ່າໄມ້	ປ່າໄມ້ຜືນນີ້ໃຫຍ່ຫຼາຍ.
沙发	ဆိုဖာ	ကျေးဇူးပြု၍ ဆိုဖာပေါ်မှာ ခဏထိုင်ပါ၊ ကျွန်တော် သင့်အတွက် လက်ဖက်ရည်တစ်ခွက် ငှဲ့ပေးမယ်။	សាឡុង	សូមអង្គុយលើសាឡុងមួយភ្លែត ខ្ញុំនឹងចាក់ទឹកតែមួយពែងជូនលោកអ្នក។	ໂຊຟາ	ກະລຸນານັ່ງເທິງໂຊຟາສັກຄູ່ ຂ້ອຍຈະຖອກນ້ຳຊາໃຫ້ທ່ານໜຶ່ງຈອກ.
伤心	ဝမ်းနည်းသည်; စိတ်ထိခိုက်သည်	ဒီသတင်းကို ကြားပြီးနောက် ကျွန်တော် အလွန်ဝမ်းနည်းခဲ့သည်။	សោកសៅ; ខូចចិត្ត	បន្ទាប់ពីឮដំណឹងនេះ ខ្ញុំសោកសៅណាស់។	ເສົ້າໃຈ	ຫຼັງຈາກໄດ້ຍິນຂ່າວນີ້ ຂ້ອຍເສົ້າໃຈຫຼາຍ.
商量	ဆွေးနွေးသည်; တိုင်ပင်သည်	မင်း အချိန်မီရောက်လာတာပဲ၊ ငါတို့ နည်းနည်း ဆွေးနွေးကြစို့။	ពិភាក្សា; ប្រឹក្សា	អ្នកមកទាន់ពេលល្អណាស់ យើងពិភាក្សាគ្នាបន្តិច។	ປຶກສາ; ລົມກັນ	ເຈົ້າມາພໍດີ ພວກເຮົາມາປຶກສາກັນໜ່ອຍ.
稍微	နည်းနည်း; အနည်းငယ်	နည်းနည်းလေး ပေါ့ဆရင်တောင် အမှားဖြစ်နိုင်သည်။	បន្តិច; តិចតួច	ធ្វេសប្រហែសបន្តិចក៏អាចធ្វើឱ្យមានកំហុសបាន។	ໜ່ອຍໜຶ່ງ; ເລັກນ້ອຍ	ປະໝາດໜ່ອຍດຽວກໍອາດເຮັດຜິດໄດ້.
勺子	ဇွန်း	တောင်းပန်ပါတယ်၊ ကျွန်တော် ဇွန်းကို ကြမ်းပြင်ပေါ် ကျသွားစေခဲ့သည်။	ស្លាបព្រា	សូមទោស ខ្ញុំបានធ្វើឱ្យស្លាបព្រាធ្លាក់លើឥដ្ឋ។	ບ່ວງ	ຂໍໂທດ ຂ້ອຍເຮັດໃຫ້ບ່ວງຕົກລົງພື້ນ.
社会	လူ့အဖွဲ့အစည်း	ဒီလူမှုရေးပြဿနာတွေကို လူတိုင်း အလွန်စိတ်ဝင်စားကြသည်။	សង្គម	បញ្ហាសង្គមទាំងនេះគ្រប់គ្នាសុទ្ធតែយកចិត្តទុកដាក់។	ສັງຄົມ	ທຸກຄົນໃສ່ໃຈບັນຫາສັງຄົມເຫຼົ່ານີ້ຫຼາຍ.
深	နက်သော; လေးနက်သော	ကျွန်တော်တို့ကြားမှာ အလွန်လေးနက်တဲ့ မိတ်ဆွေဖြစ်မှု ရှိသည်။	ជ្រៅ; ជ្រាលជ្រៅ	រវាងយើងមានមិត្តភាពជ្រាលជ្រៅណាស់។	ເລິກ; ເລິກຊຶ້ງ	ລະຫວ່າງພວກເຮົາມີມິດຕະພາບເລິກຊຶ້ງຫຼາຍ.
申请	လျှောက်ထားသည်; လျှောက်လွှာ	ကျွန်တော် ဘဏ်ကို ခရက်ဒစ်ကတ်တစ်ကတ် လျှောက်ထားခဲ့သည်။	ដាក់ពាក្យសុំ; ពាក្យសុំ	ខ្ញុំបានដាក់ពាក្យសុំកាតឥណទានមួយពីធនាគារ។	ສະໝັກ; ຄຳຮ້ອງຂໍ	ຂ້ອຍໄດ້ສະໝັກບັດເຄຣດິດໜຶ່ງຈາກທະນາຄານ.
甚至	ပင်; တောင်မှ	အားလုံး အလွန်ပျော်ကြပြီး အချိန်ကိုတောင် မေ့သွားကြသည်။	សូម្បីតែ	គ្រប់គ្នាលេងសប្បាយណាស់ សូម្បីតែភ្លេចពេលវេលា។	ແມ່ນແຕ່	ທຸກຄົນມ່ວນຫຼາຍ ແມ່ນແຕ່ລືມເວລາ.
生活	ဘဝ; နေထိုင်သည်	ဘဝထဲမှာ စိတ်ညစ်စရာအချို့ကို အမြဲတွေ့ရတတ်သည်။	ជីវិត; រស់នៅ	ក្នុងជីវិតតែងតែជួបបញ្ហារំខានខ្លះៗ។	ຊີວິດ; ດຳລົງຊີວິດ	ໃນຊີວິດມັກຈະພົບຄວາມກັງວົນບາງຢ່າງ.
生命	အသက်; အသက်ဘဝ	သူက အနုပညာကို ကိုယ့်အသက်ထက် ပိုအရေးကြီးတယ်လို့ မြင်သည်။	ជីវិត	គាត់ចាត់ទុកសិល្បៈសំខាន់ជាងជីវិតរបស់ខ្លួន។	ຊີວິດ	ລາວເຫັນສິລະປະສຳຄັນກວ່າຊີວິດຂອງຕົນ.
生意	စီးပွားရေး; ကုန်သွယ်မှု	သူ့စီးပွားရေးက တဖြည်းဖြည်း ပိုကြီးလာသည်။	ជំនួញ; ពាណិជ្ជកម្ម	ជំនួញរបស់គាត់កាន់តែធំឡើងៗ។	ທຸລະກິດ; ການຄ້າ	ທຸລະກິດຂອງລາວໃຫຍ່ຂຶ້ນເລື້ອຍໆ.
省	ပြည်နယ်	ကျွန်တော် ရှန်တုန်းပြည်နယ်က လာတာပါ။	ខេត្ត	ខ្ញុំមកពីខេត្តសានទុង។	ແຂວງ	ຂ້ອຍມາຈາກແຂວງຊານຕົງ.
剩	ကျန်သည်	ပန်းသီး နှစ်လုံးပဲ ကျန်တော့သည်။	នៅសល់	នៅសល់តែផ្លែប៉ោមពីរផ្លែប៉ុណ្ណោះ។	ເຫຼືອ	ເຫຼືອໝາກແອັບເປິນພຽງສອງໜ່ວຍ.
失败	ရှုံးနိမ့်မှု; မအောင်မြင်သည်	ရှုံးနိမ့်မှုတွေ အများကြီး ကြုံခဲ့ရပေမဲ့ ကျွန်တော် ဘယ်တော့မှ လက်မလျှော့ဘူး။	បរាជ័យ; ការបរាជ័យ	ទោះបីធ្លាប់ជួបបរាជ័យជាច្រើនក៏ដោយ ខ្ញុំមិនដែលបោះបង់ទេ។	ລົ້ມເຫຼວ; ຄວາມລົ້ມເຫຼວ	ເຖິງວ່າຂ້ອຍເຄີຍພົບຄວາມລົ້ມເຫຼວຫຼາຍຄັ້ງ ແຕ່ຂ້ອຍບໍ່ເຄີຍຍອມແພ້.
失望	စိတ်ပျက်သော; မျှော်လင့်ချက်ပျက်သည်	ကျွန်တော် သူ့ကို အလွန်စိတ်ပျက်သည်။	ខកចិត្ត	ខ្ញុំខកចិត្តចំពោះគាត់ណាស់។	ຜິດຫວັງ	ຂ້ອຍຜິດຫວັງໃນຕົວລາວຫຼາຍ.
师傅	ဆရာ; ကျွမ်းကျင်လုပ်သားကို ခေါ်သော လေးစားစကား	ဆရာ၊ ရုပ်ရှင်ရုံကို ဘယ်လိုသွားရမလဲ မေးပါရစေ။	លោកគ្រូ; ពាក្យគោរពសម្រាប់ជាង	លោកគ្រូ សូមសួរថារោងកុនទៅតាមផ្លូវណា?	ອາຈານ; ຄຳເອີ້ນຢ່າງນັບຖື	ອາຈານ ຂໍຖາມແດ່ ໄປໂຮງຮູບເງົາໄປທາງໃດ?
十分	အလွန်; အရမ်း	သူမက အလုပ်လုပ်ရာမှာ အလွန်အသေးစိတ်ဂရုစိုက်သည်။	ខ្លាំងណាស់; យ៉ាងខ្លាំង	នាងធ្វើការយ៉ាងម៉ត់ចត់ខ្លាំងណាស់។	ຫຼາຍ; ຢ່າງຍິ່ງ	ນາງເຮັດວຽກຢ່າງລະອຽດຫຼາຍ.
实际	လက်တွေ့ကျသော; အမှန်တကယ်	သူက ဒီပြဿနာကို ရှင်းပြဖို့ လက်တွေ့ကျတဲ့ ဥပမာတစ်ခု သုံးခဲ့သည်။	ជាក់ស្តែង; ពិតប្រាកដ	គាត់បានប្រើឧទាហរណ៍ជាក់ស្តែងមួយដើម្បីពន្យល់បញ្ហានេះ។	ຈິງ; ປະຕິບັດໄດ້	ລາວໃຊ້ຕົວຢ່າງຈິງເພື່ອອະທິບາຍບັນຫານີ້.
实在	တကယ်; အမှန်ပင်	ကျွန်တော် တကယ် အရမ်းပင်ပန်းနေပြီ။	ពិតជា; មែនទែន	ខ្ញុំពិតជានឿយហត់ខ្លាំងណាស់។	ແທ້ໆ; ຈິງໆ	ຂ້ອຍເມື່ອຍຫຼາຍແທ້ໆ.
使	ဖြစ်စေသည်; လုပ်စေသည်	သူ့စကားတွေက ကျွန်တော့်ကို အလွန်စိတ်ထိမိစေခဲ့သည်။	ធ្វើឱ្យ	ពាក្យសម្តីរបស់គាត់ធ្វើឱ្យខ្ញុំរំភើបចិត្តណាស់។	ເຮັດໃຫ້	ຄຳເວົ້າຂອງລາວເຮັດໃຫ້ຂ້ອຍຊາບຊຶ້ງຫຼາຍ.
使用	အသုံးပြုသည်	တရုတ်လူမျိုးတွေက စားရာမှာ ပုံမှန်အားဖြင့် တူကို အသုံးပြုကြသည်။	ប្រើប្រាស់	ជនជាតិចិនជាទូទៅប្រើចង្កឹះពេលញ៉ាំអាហារ។	ໃຊ້	ຄົນຈີນໂດຍທົ່ວໄປໃຊ້ຕະເກຍເວລາກິນເຂົ້າ.
世纪	ရာစု	အခုက နှစ်ဆယ့်တစ်ရာစု ဖြစ်နေပြီ။	សតវត្សរ៍	ឥឡូវនេះជាសតវត្សរ៍ទីម្ភៃមួយហើយ។	ສະຕະວັດ	ຕອນນີ້ແມ່ນສະຕະວັດທີຊາວເອັດແລ້ວ.
是否	ဟုတ်မဟုတ်; ရှိမရှိ	သူ လာနိုင်မလာနိုင်ကို ကျွန်တော် မသေချာသေးဘူး။	ថាតើ; ឬទេ	ថាគាត់អាចមកបានឬអត់ ខ្ញុំនៅមិនសូវច្បាស់ទេ។	ວ່າຈະ; ຫຼືບໍ່	ລາວຈະມາໄດ້ຫຼືບໍ່ ຂ້ອຍຍັງບໍ່ຄ່ອຍແນ່ໃຈ.
适合	သင့်တော်သည်; ကိုက်ညီသည်	အစိမ်းရောင်အဝတ်အစားတွေက ကျွန်တော့်နဲ့ သိပ်မလိုက်ဘူး။	សមនឹង; សមរម្យ	សម្លៀកបំពាក់ពណ៌បៃតងមិនសូវសមនឹងខ្ញុំទេ។	ເໝາະກັບ	ເສື້ອຜ້າສີຂຽວບໍ່ຄ່ອຍເໝາະກັບຂ້ອຍ.
适应	အလိုက်သင့်နေထိုင်သည်; ကျင့်သားရသည်	မင်း မြောက်ပိုင်းရဲ့ ရာသီဥတုကို အလိုက်သင့်နေထိုင်နိုင်လား။	សម្របខ្លួន; ធ្លាប់នឹង	អ្នកអាចសម្របខ្លួននឹងអាកាសធាតុភាគខាងជើងបានទេ?	ປັບຕົວ; ຊິນກັບ	ເຈົ້າສາມາດປັບຕົວເຂົ້າກັບພູມອາກາດທາງເໜືອໄດ້ບໍ?
收	လက်ခံသည်; ရရှိသည်	မင်းရဲ့စာကို ကျွန်တော် ရရှိခဲ့ပြီ။	ទទួល	ខ្ញុំបានទទួលសំបុត្ររបស់អ្នកហើយ។	ຮັບ; ໄດ້ຮັບ	ຂ້ອຍໄດ້ຮັບຈົດໝາຍຂອງເຈົ້າແລ້ວ.
收入	ဝင်ငွေ	သူ့ဝင်ငွေက အရင်ထက် မြင့်လာသည်။	ចំណូល	ចំណូលរបស់គាត់ខ្ពស់ជាងមុន។	ລາຍໄດ້	ລາຍໄດ້ຂອງລາວສູງກວ່າແຕ່ກ່ອນ.
收拾	သပ်ရပ်အောင်လုပ်သည်; ထုပ်ပိုးသည်	ကျွန်တော် ခရီးဆောင်အိတ်တွေ ထုပ်ပိုးနေတယ်။	រៀបចំ; វេចខ្ចប់	ខ្ញុំកំពុងវេចខ្ចប់អីវ៉ាន់។	ຈັດເກັບ; ຫໍ່ເຄື່ອງ	ຂ້ອຍກຳລັງຈັດກະເປົາເດີນທາງ.
首都	မြို့တော်	တရုတ်နိုင်ငံရဲ့ မြို့တော်က ပေကျင်း ဖြစ်သည်။	រាជធានី; រដ្ឋធានី	រាជធានីរបស់ប្រទេសចិនគឺប៉េកាំង។	ນະຄອນຫຼວງ	ນະຄອນຫຼວງຂອງຈີນແມ່ນປັກກິ່ງ.
首先	ပထမဆုံး; အရင်ဆုံး	ပထမဆုံး ကောင်းကောင်းအနားယူရမယ်၊ ပြီးမှ အလုပ်ကို ကောင်းကောင်းလုပ်နိုင်မယ်။	ជាដំបូង	ជាដំបូងត្រូវសម្រាកឱ្យបានល្អ បន្ទាប់មកទើបអាចធ្វើការបានល្អ។	ກ່ອນອື່ນ; ທຳອິດ	ກ່ອນອື່ນຕ້ອງພັກຜ່ອນໃຫ້ດີ ແລ້ວຈຶ່ງເຮັດວຽກໄດ້ດີ.
受不了	မခံနိုင်သော; မခံနိုင်တော့သည်	ရာသီဥတုက ပူလွန်းလို့ ကျွန်တော် မခံနိုင်တော့ဘူး။	ទ្រាំមិនបាន	អាកាសធាតុក្តៅពេក ខ្ញុំទ្រាំមិនបានទេ។	ທົນບໍ່ໄດ້	ອາກາດຮ້ອນເກີນໄປ ຂ້ອຍທົນບໍ່ໄດ້.
受到	လက်ခံရရှိသည်; ခံရသည်	သူ့ဝတ္ထုကို စာဖတ်သူတွေက ကြိုဆိုခဲ့ကြသည်။	ទទួលបាន; ត្រូវបាន	ប្រលោមលោករបស់គាត់ទទួលបានការស្វាគមន៍ពីអ្នកអាន។	ໄດ້ຮັບ; ຖືກ	ນະວະນິຍາຍຂອງລາວໄດ້ຮັບການຕ້ອນຮັບຈາກຜູ້ອ່ານ.
售货员	အရောင်းဝန်ထမ်း	ကျွန်တော် စျေးဝယ်စင်တာမှာ အရောင်းဝန်ထမ်းအဖြစ် လုပ်သည်။	អ្នកលក់	ខ្ញុំធ្វើជាអ្នកលក់នៅមជ្ឈមណ្ឌលពាណិជ្ជកម្ម។	ພະນັກງານຂາຍ	ຂ້ອຍເຮັດວຽກເປັນພະນັກງານຂາຍຢູ່ສູນການຄ້າ.
输	ရှုံးသည်	ဒီပြိုင်ပွဲမှာ ကျွန်တော်တို့ ရှုံးခဲ့သည်။	ចាញ់	ការប្រកួតលើកនេះ ពួកយើងចាញ់ហើយ។	ແພ້	ການແຂ່ງຂັນຄັ້ງນີ້ ພວກເຮົາແພ້.
熟悉	ရင်းနှီးကျွမ်းဝင်သည်; ကောင်းကောင်းသိသည်	ကျွန်တော် သူတို့အားလုံးနဲ့ အလွန်ရင်းနှီးကျွမ်းဝင်သည်။	ស្គាល់ច្បាស់; ស្និទ្ធស្នាល	ខ្ញុំស្គាល់ពួកគេទាំងអស់ច្បាស់ណាស់។	ຄຸ້ນເຄີຍ; ຮູ້ຈັກດີ	ຂ້ອຍຄຸ້ນເຄີຍກັບພວກເຂົາທຸກຄົນຫຼາຍ.
数量	အရေအတွက်	စာရင်းသွင်းသူ အရေအတွက်က အလွန်များသည်။	ចំនួន	ចំនួនអ្នកចុះឈ្មោះមានច្រើនណាស់។	ຈຳນວນ	ຈຳນວນຄົນລົງທະບຽນມີຫຼາຍ.
数字	ဂဏန်း; နံပါတ်	ကျေးဇူးပြု၍ နံပါတ်တွေကို ရှင်းရှင်းလင်းလင်း ရေးပါ။	លេខ; តួលេខ	សូមសរសេរលេខឱ្យច្បាស់។	ຕົວເລກ; ເລກ	ກະລຸນາຂຽນຕົວເລກໃຫ້ຊັດເຈນ.
帅	ချောမောသော; စမတ်ကျသော	သူ ဒီနေ့ ဝတ်ထားတာ အလွန်စမတ်ကျသည်။	សង្ហា	ថ្ងៃនេះគាត់ស្លៀកពាក់សង្ហាណាស់។	ຫຼໍ່; ເທ່	ມື້ນີ້ລາວແຕ່ງຕົວເທ່ຫຼາຍ.
顺便	တစ်လက်စတည်း; ကြုံတုန်း	အလုပ်ဆင်းပြီး အိမ်ပြန်လမ်းမှာ ကျွန်တော် ဟင်းသီးဟင်းရွက်အချို့ တစ်လက်စတည်း ဝယ်ခဲ့သည်။	ឆ្លៀតឱកាស; តាមផ្លូវ	តាមផ្លូវត្រឡប់ពីការងារ ខ្ញុំឆ្លៀតទិញបន្លែខ្លះ។	ຖືໂອກາດ; ລະຫວ່າງທາງ	ລະຫວ່າງທາງກັບຈາກວຽກ ຂ້ອຍຖືໂອກາດຊື້ຜັກບາງຢ່າງ.
