simplified	SR	example_SR
义务	обавеза; дужност	Заштита животне средине је обавеза сваког човека.
亿	сто милиона	Ова земља има више од милијарду становника.
意外	неочекивано; незгода	Ово кашњење је било потпуно неочекивано.
意义	значење; значај	Ова активност има велики значај.
议论	расправљати; коментарисати	Сви расправљају о овој ствари.
因而	стога; зато	Вредно учи, зато има добре оцене.
因素	фактор	Време је важан фактор.
银	сребро; сребрн	Носи сребрну наруквицу.
印刷	штампа; штампати	Ова књига је врло јасно одштампана.
英俊	згодан	Веома је згодан.
英雄	херој	Ватрогасци су прави хероји.
营养	исхрана; хранљивост	Доручак треба да има довољно хранљивих материја.
营业	пословати; радити	Ова продавница почиње да ради у девет сати.
迎接	дочекати	Отишли смо на аеродром да дочекамо госте.
影子	сенка	Његова сенка је испод уличне светиљке.
应付	носити се са; изаћи на крај	Може да изађе на крај са овим проблемом.
应用	применити; употреба	Овај метод може да се примени у настави.
硬	тврд	Ова столица је превише тврда.
硬件	хардвер	Овај рачунар има добар хардвер.
拥抱	загрлити	Дете је потрчало да загрли маму.
拥挤	гужва; препун	Метро је веома препун у јутарњем шпицу.
勇气	храброст	Има храбрости да призна грешку.
用功	вредно учити	Она веома вредно учи.
用途	употреба; намена	Овај материјал има широку примену.
优惠	попуст; повољност	Ова продавница данас има попуст.
优美	леп; елегантан	Окружење овде је веома лепо.
优势	предност	Његова предност је богато искуство.
悠久	дуг; древан	Кина има дугу историју.
油炸	пржити у дубоком уљу	Ретко једем пржену храну.
游览	обилазити; разгледати	Сутра ћемо обићи Забрањени град.
犹豫	оклевати	Оклевао је неко време пре него што је одговорио.
有利	повољан; користан	Овај услов је повољан за нас.
幼儿园	вртић	Дете ће следеће године ићи у вртић.
娱乐	забава	Гледање филмова је врста забаве.
与其	уместо да	Уместо да се жалиш, боље је да делујеш.
语气	тон; начин говора	Тон његовог говора је веома благ.
玉米	кукуруз	За вечеру има супа од кукуруза.
预报	прогноза	Временска прогноза каже да ће сутра падати киша.
预订	резервисати	Већ сам резервисао хотел.
预防	спречити; превенција	Често прање руку може да спречи прехладу.
元旦	Нова година	За Нову годину имамо један слободан дан.
原料	сировина	Главна сировина за хлеб је брашно.
原则	принцип	Човек треба да има принципе.
员工	запослени	Компанија има три стотине запослених.
圆	округао; круг	Месец је велики и округао.
愿望	жеља	Његова жеља је да пропутује свет.
乐器	музички инструмент	Уме да свира неколико музичких инструмената.
晕	вртоглавица; врти се у глави	Мало ми се врти у глави када се возим чамцем.
运气	срећа	Данас имам добру срећу.
运输	превоз; транспорт	Ова роба треба железнички превоз.
运用	применити; користити	Молим вас, флексибилно користите ове речи.
灾害	непогода; катастрофа	Поплава је врста природне непогоде.
再三	више пута; изнова	Наставник нас је више пута подсетио да поновимо градиво.
在乎	марити; бити стало	Много му је стало до мишљења пријатеља.
在于	лежати у; бити у	Успех лежи у истрајности.
赞成	слагати се; одобрити	Слажем се са твојим предлогом.
赞美	похвалити	Сви су похвалили њену храброст.
糟糕	лош; ужасно	Време је данас баш ужасно.
造成	изазвати; проузроковати	Јака киша је изазвала саобраћајну гужву.
则	онда; правило	Ако се човек труди, онда ће напредовати.
责备	кривити; прекорити	Наставник га није прекорио.
摘	убрати	Убрала је један цвет у башти.
窄	узак	Овај пут је превише узак.
粘贴	залепити	Молим вас, залепите фотографију овде.
展开	почети; развити	Расправа је брзо почела.
展览	изложба; изложити	Музеј има нову изложбу.
占	заузети	Овај сто заузима простор.
战争	рат	Рат доноси патњу народу.
掌握	савладати; овладати	Већ је савладао основну граматику.
涨	порасти	Кирија је недавно поново порасла.
长辈	старији чланови породице	За Нову годину треба поздравити старије.
账户	рачун	Молим вас, проверите свој банковни рачун.
招待	дочекати; угостити	Домаћин је срдачно угостио госте.
着火	запалити се	Кухиња се изненада запалила.
着凉	прехладити се	Хладно је, немој да се прехладиш.
召开	одржати; сазвати	Школа ће сутра одржати састанак.
照常	као и обично	Продавница ће сутра радити као и обично.
哲学	филозофија	На универзитету је студирао филозофију.
珍惜	ценити; чувати	Треба да ценимо време.
真实	стваран; истинит	Ова прича је истинита.
针对	усмерен на	Овај предлог је усмерен на нове студенте.
诊断	дијагноза; дијагностиковати	Лекар је брзо поставио дијагнозу.
振动	вибрација; вибрирати	Телефон вибрира на столу.
阵	кратак налет; период	Напољу је пљуснула кратка киша.
争论	расправљати се; дебата	Дуго су се расправљали о овом питању.
争取	трудити се да се добије; изборити се	Треба да се изборимо за више прилика.
征求	тражити; затражити мишљење	Наставник је затражио мишљење свих.
挣	ослободити се; зарадити	Птичица се ослободила конопца.
睁	отворити очи	Молим те, отвори очи мало шире.
整个	цео; читав	Цео град је веома тих.
整齐	уредан	Књиге су сложене веома уредно.
整体	целина; укупан	Треба да размотримо укупан ефекат.
政府	влада	Влада је објавила ново саопштење.
政治	политика; политички	Веома га занима политика.
正	тачан; исправан; право	Овај одговор је тачан.
证件	документ; лична исправа	Молим вас, покажите свој документ.
证据	доказ	Полиција је пронашла нове доказе.
支	бројилац за издужене предмете; подупрети	На столу је једна оловка.
支票	чек	Платио је чеком.
执照	дозвола; лиценца	За вожњу је потребна возачка дозвола.
直	прав; право	Идите право овим путем.
指导	водити; усмеравати	Наставник нас је усмеравао у писању рада.
指挥	командовати; руководити	Он је одговоран за руковођење овом акцијом.
制定	израдити; формулисати	Компанија је израдила нови план.
制度	систем; установа	Школа има строг систем.
制造	производити	Ова фабрика производи машине.
制作	правити; израђивати	Она прави рођенданску торту.
志愿者	волонтер	Много волонтера је учествовало у активности.
智慧	мудрост	Овај старац има много мудрости.
治疗	лечити; лечење	Лекар лечи пацијента.
秩序	ред; поредак	Молим вас, одржавајте ред.
至今	до данас; до сада	Овај проблем до данас није решен.
至于	што се тиче	Што се тиче трошкова, разговараћемо сутра.
中介	посредник; агенција	Изнајмио је стан преко агенције.
中心	центар	Болница је у центру града.
中旬	средина месеца	Састанак је заказан за средину маја.
种类	врста	Овде има много врста воћа.
重大	важан; значајан	Ово је значајна одлука.
重量	тежина	Колика је тежина ове кутије?
周到	пажљив; промишљен	Његова услуга је веома пажљива.
猪	свиња; свињетина	На фарми има много свиња.
竹子	бамбус	Панде воле да једу бамбус.
逐步	постепено; корак по корак	План ће се спроводити постепено.
逐渐	постепено	Време је постепено постало хладније.
主持	водити; председавати	Она води данашњи састанак.
主动	самоиницијативан; активан	Он је самоиницијативно помогао школском другу.
主观	субјективан	Ова оцена је помало субјективна.
主人	домаћин; власник	Домаћин нас је срдачно дочекао.
主任	директор; шеф	Директор је у канцеларији.
主题	тема	Тема данашње расправе је заштита животне средине.
主席	председавајући	Председавајући је објавио почетак састанка.
主张	залагати се; став	Он се залаже да се прво реши проблем саобраћаја.
煮	кувати	Мама кува резанце.
注册	регистровати се	Нови корисници прво треба да се региструју.
祝福	благослов; добре жеље	Пријатељи су послали добре жеље.
抓	ухватити	Дете је ухватило маму за руку.
抓紧	искористити; чврсто ухватити	Треба добро да искористимо време.
专家	стручњак	Стручњак је изнео предлоге.
专心	усредсредити се	На часу треба пажљиво слушати.
转变	промена; променити се	Његов став се променио.
转告	пренети поруку	Молим те, пренеси му да је сутра састанак.
装	ставити; паковати; претварати се	Молим те, стави књиге у торбу.
装饰	украсити; декорација	Украсили су собу цвећем.
装修	реновирати	Нова кућа се реновира.
撞	ударити; сударити се	Два аутомобила су се сударила на раскрсници.
状况	стање; ситуација	Тренутна ситуација је релативно стабилна.
状态	стање	Он је данас у добром стању.
追	јурити; пратити	Дете позади јури пса.
追求	тежити; следити	Увек је следио свој сан.
咨询	консултовати се; тражити савет	Можеш да се консултујеш са стручним лекаром.
姿势	држање; положај	Молим вас, држите правилан положај.
资格	квалификација; право учешћа	Има право да учествује у такмичењу.
资金	средства; капитал	Пројекту је потребно више средстава.
资料	материјал; подаци	Молим те, пошаљи ми материјале.
资源	ресурси	Вода је важан природни ресурс.
紫	љубичаст	Она воли љубичасту боју.
字母	слово; азбука	Енглески има двадесет шест слова.
字幕	титлови	Овај филм има кинеске титлове.
自从	од када; откако	Откако је дипломирао, ретко се враћа.
自动	аутоматски	Ова врата се аутоматски отварају.
自豪	понос; бити поносан	Поносан сам на свој напредак.
自觉	свестан; самоиницијативно	Самоиницијативно је урадио домаћи задатак.
自私	себичан	Човек не треба да буде превише себичан.
自由	слобода; слободан	Свако цени слободу.
自愿	добровољан; добровољно	Добровољно су учествовали у активности.
综合	свеобухватан; објединити	Треба свеобухватно да размотримо различите факторе.
总裁	генерални директор	Генерални директор је данас одржао говор.
总共	укупно	Ово путовање је укупно коштало три хиљаде јуана.
总理	премијер	Премијер је присуствовао састанку.
总算	најзад; коначно	Проблем је коначно решен.
总统	председник	Председник је одржао телевизијски говор.
总之	укратко; једном речју	Укратко, морамо завршити на време.
组	група; организовати	Наставник нас је поделио у три групе.
组成	састављати; чинити	Вода се састоји од водоника и кисеоника.
组合	комбинација; комбиновати	Ова комбинација боја лепо изгледа.
组织	организовати; организација	Школа је организовала једно путовање.
阻止	спречити; зауставити	Полиција је зауставила опасно понашање.
最初	у почетку; првобитан	У почетку нисам баш разумео.
醉	пијан	Попио је превише и мало је пијан.
尊敬	поштовати	Сви ученици веома поштују наставника.
遵守	поштовати; придржавати се	Морамо поштовати саобраћајна правила.
作品	дело	Ова слика је његово дело.
作为	као; у својству	Као наставник, веома је стрпљив.
作文	састав; писати састав	Наставник нам је задао да напишемо састав.
